"","Timestamp","ID","I see myself as someone who.... is talkative","... tends to find fault with others","... does a thorough job","... is depressed, blue","... is original, comes up with new ideas","... is reserved","... is helpful and unselfish with others","... can be somewhat careless","... is relaxed, handles stress well","... is curious about many different things","... is full of energy","... starts quarrels with others","... is a reliable worker","... can be tense","... is ingenious, a deep thinker","... generates a lot of enthusiasm","... has a forgiving nature","... tends to be disorganized","... worries a lot","... has an active imagination","... tends to be quiet","... is generally trusting","... tends to be lazy","... is emotionally stable, not easily upset","... is inventive","... has an assertive personality","... can be cold and aloof (unapproachable)","... perseveres until the task is finished","... can be moody","... values artistic, aesthetic experiences","... is sometimes shy, inhibited","... is considerate and kind to almost everyone","... does things efficiently","... remains calm in tense situations","... prefers work that is routine","... is outgoing, sociable","... is sometimes rude to others","... makes plans and follows through with them","... gets nervous easily","... likes to reflect, play with ideas","... has few artistic interests","... likes to cooperate with others","... is easily distracted","... is sophisticated in art, music, or literature","Feedback 1","Feedback 2","Feedback 3","Feedback 4","Feedback 5","Feedback 6","Feedback 7","Feedback 8"
"11",2018-09-21 10:57:25,"1_9_1",5,4,3,1,5,2,4,4,2,4,4,3,5,4,2,3,4,4,4,5,2,4,5,5,5,5,1,3,5,5,3,4,2,2,2,5,2,3,2,5,3,4,4,5,2,2,5,4,2,6,6,6
"12",2018-09-21 11:53:29,"1_11_1",5,4,3,2,4,2,4,3,3,4,5,2,5,2,3,4,3,3,4,4,3,4,2,3,4,3,2,3,2,3,2,4,4,2,4,4,2,4,3,3,3,3,4,3,4,6,6,6,4,4,4,4
"13",2018-09-21 15:47:18,"1_12_2",3,3,2,2,3,2,2,2,5,5,3,3,4,4,4,3,4,1,2,4,3,2,2,4,2,3,2,2,4,4,2,4,4,4,2,3,1,4,2,4,3,2,2,4,2,3,5,4,4,6,2,5
"14",2018-09-22 12:53:02,"1_13_1",4,2,5,2,1,2,4,1,4,5,4,1,5,5,5,5,1,1,2,1,2,1,1,2,3,2,2,4,4,4,5,3,4,3,2,4,1,5,3,1,2,1,1,1,3,3,2,2,2,5,1,5
"15",2018-09-25 10:45:12,"1_14_1",3,1,5,1,4,4,4,3,5,5,4,1,5,3,4,3,4,1,2,4,4,4,2,5,4,3,2,5,2,2,4,5,5,5,3,3,2,4,1,4,3,4,2,2,5,2,1,1,3,2,5,3
"16",2018-09-25 13:54:37,"1_15_2",3,1,4,3,4,1,4,3,2,5,3,1,4,4,4,5,4,3,3,5,3,5,2,3,4,3,2,4,2,4,2,3,3,3,3,4,1,2,3,5,1,5,4,3,5,6,2,2,1,3,1,4
"17",2018-09-25 15:38:55,"1_16_2",5,3,4,3,2,3,3,5,5,5,4,3,5,5,2,3,5,1,3,4,1,4,4,5,3,5,5,4,4,2,3,4,5,4,3,5,4,5,2,5,2,3,4,2,2,1,4,5,6,7,4,6
"18",2018-09-27 10:10:55,"1_17_1",2,3,4,3,4,3,3,3,2,5,3,3,5,4,5,4,3,4,5,4,5,4,4,3,3,3,3,4,4,3,4,3,4,3,2,2,2,3,4,4,3,3,3,2,3,3,5,5,3,5,6,5
"19",2018-09-27 12:07:05,"1_18_2",4,2,2,3,4,2,4,3,4,5,3,2,5,2,5,3,4,3,4,4,3,5,4,3,4,4,2,5,3,5,3,4,5,5,2,4,2,4,2,5,2,4,4,5,1,1,3,3,5,3,7,4
"20",2018-09-27 12:54:49,"1_19_1",5,2,3,1,4,1,4,2,4,5,5,4,5,3,3,5,5,3,3,3,1,4,4,5,4,3,1,5,2,3,1,5,5,4,2,5,2,4,3,4,1,5,4,5,2,1,2,1,3,1,5,2
"21",2018-09-28 13:49:37,"1_46_1",3,3,4,2,4,3,4,3,3,4,3,3,4,4,3,4,3,2,2,2,4,4,3,3,3,3,2,3,2,4,4,4,3,3,4,4,2,4,3,4,4,3,2,2,2,2,3,3,3,4,7,5
"22",2018-10-03 15:05:36,"1_30_1",3,2,2,3,4,4,4,5,4,4,4,1,4,3,4,3,5,5,3,4,4,5,4,5,4,3,3,3,2,3,4,4,3,4,3,5,1,3,1,3,4,3,4,3,2,1,6,6,6,3,1,5
"23",2018-10-03 16:19:50,"1_20_1",4,3,5,1,4,1,5,2,5,5,4,2,5,3,5,3,3,1,1,5,4,5,1,4,4,3,3,5,3,5,3,5,5,5,3,4,1,5,1,5,2,3,2,5,1,1,2,2,1,3,6,2
"24",2018-10-03 16:51:36,"1_21_1",4,3,4,1,3,2,4,3,3,4,4,3,4,3,4,3,4,2,5,4,3,2,2,5,4,4,2,3,3,4,2,4,4,4,3,3,2,5,2,3,2,5,3,1,1,1,2,2,5,4,7,5
"25",2018-10-09 13:53:54,"1_22_2",2,3,5,3,4,4,4,2,4,5,4,2,4,4,4,4,4,1,3,4,4,5,3,3,3,4,3,4,5,5,4,4,5,4,4,3,3,4,3,4,2,3,3,3,4,2,4,4,5,4,3,4
"26",2018-10-10 10:52:13,"1_23_1",5,3,4,2,4,2,5,1,4,4,5,1,5,3,4,4,5,1,3,4,3,4,1,3,3,4,2,4,3,3,3,4,5,3,3,4,1,4,2,3,4,3,2,3,1,1,3,3,2,2,6,4
"27",2018-10-10 15:53:00,"1_24_2",3,2,3,1,4,3,4,2,4,4,4,3,4,2,4,4,4,2,2,4,3,4,3,4,4,2,2,2,3,2,2,4,4,4,1,4,1,3,2,4,2,4,3,1,2,2,2,1,2,1,5,4
"28",2018-10-11 10:46:32,"1_25_1",3,2,5,4,4,4,5,3,2,4,3,2,4,3,4,4,4,4,5,4,5,5,3,3,3,3,4,4,4,4,5,5,4,4,4,2,2,3,4,5,3,3,4,2,2,1,2,1,1,3,6,2
"29",2018-10-11 11:45:19,"1_26_2",2,3,4,3,3,1,4,1,4,4,3,1,4,2,4,2,5,2,2,3,5,4,4,4,2,3,3,3,2,4,5,5,3,3,3,1,1,3,5,4,2,2,2,3,3,4,2,2,2,3,2,5
"30",2018-10-23 11:06:27,"1_27_1",4,4,3,2,4,4,4,4,2,2,3,4,2,4,4,4,2,5,4,5,4,4,5,1,2,2,4,2,4,4,5,4,1,1,1,4,4,1,5,4,1,4,5,5,5,5,2,2,2,3,6,4
"31",2018-10-23 12:43:08,"1_28_2",3,2,3,3,3,2,5,4,3,4,2,1,4,4,4,5,4,3,3,5,2,2,4,4,2,4,2,3,4,4,2,4,3,4,3,5,2,3,4,5,4,4,3,2,2,1,2,2,2,2,5,2
"32",2018-10-23 12:43:09,"1_29_1",4,2,4,2,2,3,4,2,2,5,3,1,5,2,3,3,5,2,4,3,2,5,3,4,2,4,2,5,3,4,4,4,5,5,1,4,1,4,4,2,4,5,2,4,1,1,1,1,1,3,5,4
"33",2018-10-23 12:58:07,"1_31_1",4,3,5,3,5,3,3,4,3,5,5,1,2,4,5,5,4,4,2,5,3,4,3,1,5,2,1,2,4,5,4,3,4,2,1,4,1,2,2,5,5,4,4,5,3,5,6,5,3,4,7,3
"34",2018-10-23 13:59:53,"1_32_1",4,3,4,2,4,2,4,3,2,5,3,1,5,4,3,4,2,2,4,5,2,4,4,2,4,4,3,2,3,3,2,5,4,5,1,5,2,4,2,4,2,4,5,4,2,1,5,4,5,6,3,5
"35",2018-10-23 14:44:15,"1_35_2",3,3,4,2,4,5,4,1,2,4,3,1,5,3,3,3,3,1,4,5,3,5,2,3,3,4,4,5,4,4,4,4,5,3,3,2,1,4,4,4,5,5,2,4,5,5,1,1,2,3,4,4
"36",2018-10-23 16:11:04,"1_33_2",4,4,4,2,5,4,4,4,4,5,4,3,5,4,5,5,5,3,3,5,4,5,4,4,4,3,3,5,4,5,4,5,4,3,1,4,1,4,2,5,5,5,3,5,2,1,3,4,2,2,5,1
"37",2018-10-24 10:50:25,"1_34_1",4,4,4,4,4,4,3,4,2,4,4,2,4,5,5,3,3,3,5,4,2,3,4,2,3,4,4,3,5,5,2,4,4,1,3,4,3,4,4,3,1,4,2,4,5,2,4,5,6,5,6,6
"38",2018-10-24 11:03:37,"1_36_1",4,3,3,4,4,3,5,5,3,5,3,4,4,4,5,4,2,5,4,4,3,5,4,4,4,3,2,3,4,4,2,5,4,3,1,3,4,3,3,4,2,4,4,3,3,4,6,4,3,3,6,4
"39",2018-10-24 11:05:20,"1_37_2",5,3,2,1,5,1,5,4,2,5,3,2,5,3,5,5,4,4,4,5,2,5,3,4,5,3,1,3,5,5,2,5,5,4,5,5,2,4,3,5,4,4,5,4,1,2,6,4,5,7,1,6
"40",2018-10-24 12:50:03,"1_38_1",4,2,4,4,4,3,4,2,2,4,2,1,5,2,4,5,4,3,5,5,3,3,2,1,4,4,1,5,3,5,4,4,4,4,2,4,1,3,4,5,1,4,5,5,2,3,3,2,2,2,7,3
"41",2018-10-24 14:50:22,"1_47_2",2,3,4,1,4,4,5,4,4,5,4,4,5,4,3,5,4,1,1,4,3,5,3,5,2,3,4,5,1,1,1,4,4,4,2,5,3,4,1,4,3,4,1,1,1,1,7,7,7,6,7,4
"42",2018-10-24 15:40:42,"1_39_1",4,4,4,3,4,2,3,2,2,4,3,1,5,4,4,4,2,2,4,4,2,2,2,3,4,3,2,4,3,4,2,4,4,3,3,4,2,4,4,4,3,2,3,4,5,4,2,2,4,5,6,5
"43",2018-10-24 16:46:57,"1_40_2",5,4,4,1,4,1,4,4,4,5,5,3,5,3,3,4,2,2,4,5,1,5,3,3,4,3,4,5,4,5,3,4,4,3,1,5,2,4,2,5,2,5,4,4,2,6,2,1,2,3,2,6
"44",2018-10-26 09:46:14,"1_41_1",4,3,3,3,3,3,3,2,4,3,3,1,4,3,3,3,3,4,3,2,3,3,3,3,3,2,3,4,3,3,4,4,3,4,4,3,2,4,2,2,4,3,2,3,2,1,2,3,4,3,7,4
"45",2018-10-26 10:50:57,"1_42_2",3,2,4,3,1,3,4,1,4,5,3,1,5,4,3,2,5,4,5,4,4,5,4,5,1,2,5,5,1,5,4,4,4,3,4,3,3,4,2,3,2,4,4,3,1,1,3,3,1,2,5,3
"46",2018-10-26 11:47:33,"1_43_1",5,2,3,1,4,1,3,5,5,4,5,2,3,1,4,4,2,4,1,3,1,2,3,5,4,5,4,4,1,4,1,2,4,5,1,5,4,4,1,3,4,4,2,4,3,2,4,3,2,4,3,4
"47",2018-10-26 13:53:54,"1_44_2",3,2,5,2,4,4,4,3,1,5,4,1,5,4,4,4,1,3,4,4,3,5,3,2,4,4,4,4,4,3,4,4,4,2,2,4,3,4,4,4,3,4,2,2,4,2,2,1,4,6,6,5
"48",2018-10-26 16:57:13,"1_45_1",5,4,4,1,3,3,5,2,5,4,3,1,3,2,4,3,3,3,1,2,2,4,4,5,2,3,2,3,2,1,4,5,5,5,3,4,1,5,1,2,5,3,3,1,1,1,3,2,1,1,7,2
